Barrio2	2010	2011	2012	2013	2014	2015	2016	Grand Total
TUNDAMA		2		5	1	1		9
TUNJUELITO	5	1	10	9	14	31	29	99
TURBAY AYALA		1		1		1		3
TURINGA SUBA	7	2	8	13	5	5	4	44
TURINGIA					7	7	5	19
UNICENTRO	3	12	13	25	21	11	18	103
UNICERROS	1							1
UNIDAD POLIDEPORTIVO KENNEDY				1				1
UNIDAD RESIDENCIAL AYACUCHO			3	2	6	3	1	15
UNIR I						1	1	2
UNIVERSIDAD ANDES		1						1
UNIVERSIDAD JAVERIANA						4		4
UNIVERSIDAD NACIONAL		1	1	4	1	1	1	9
URB AMERICAS RESERV							1	1
URB MIRANDELA					3	5	5	13
URB PARQUE EL PORTAL	1				1			2
URB. 7 DE AGOSTO					3	1	3	7
URB. ACAPULCO			1	1		1		3
URB. ACUARELA	1	2	2	3		1		9
URB. ALAMEDA DE SAN ANTONIO							1	1
URB. ALBACETE							1	1
URB. ALTOS DEL COUNTRY CLUB					1			1
URB. AMÉRICAS OCCIDENTAL I ETAPA	4	3	9	12	1			29
URB. AMÉRICAS OCCIDENTAL II ETAPA	6	4	4	7				21
URB. ANTIGUO HIPÓDROMO DE TECHO	4	1	3	2		1		11
URB. ARBOLETE			1					1
URB. AUTOPISTA DEL SUR	1			3				4
URB. AUTOPISTA NORTE I SECTOR		1	1	2		1		5
URB. AUTOPISTA NORTE II SECTOR		3		5				8
URB. AVENIDA BARRANQUILLA						1	1	2
URB. AYUELOS I ETAPA							1	1
URB. BABILONIA		4	1	1	2	2	7	17
URB. BAHÍA SOLANO						2		2
URB. BARCELONA					1	1		2
URB. BARLOVENTO	3		1	3	1	1		9
URB. BARRANQUILLITA				2	2	2	7	13
URB. BELMIRA	2	4	1	5	5	5	2	24
URB. BETANIA	3	2	1	1	4	4	1	16
URB. BOCHICA					1		1	2
URB. BOCHICA II SECTOR						2		2
URB. BODEGAS DE FONTIBÓN							1	1
URB. BOSQUE DE LA COLINA	7	10	8	25				50
URB. BOSQUE DE MEDINA	1							1
URB. BOSQUE DE PINOS I SECTOR	3							3
URB. BOSQUES DE LA CANDELARIA					1	1		2
URB. BUENOS AIRES II SECTOR						1		1
URB. CALLE 100					2			2
URB. CANODROMO						1	2	3
URB. CAOBOS SALAZAR NORTE						1		1
URB. CAPRI I SECTOR					1	1	1	3
URB. CARABELAS	3	1	1	2	1	1	2	11
URB. CARACAS		1	1	1	2		2	7
URB. CARIMAGUA I SECTOR	3	4	2	3	2	2	5	21
URB. CARLOS ALBAN HOLGUIN	6	3	4	2	2	2	1	20
URB. CARMEN DEL SOL			1					1
URB. CASA LINDA		2	1		2	1	7	13
URB. CASABLANCA	1	3	7	3				14
URB. CASTILLA				1	3	4	3	11
URB. CATALINA					2	1	1	4
URB. CATALINA II SECTOR						1		1
URB. CATALUÑA							1	1
URB. CATANIA						1		1
URB. CEDRITOS		4	1			1	2	8
URB. CEDRO BOLÍVAR II SECTOR		1	4	1				6
URB. CEDRO NARVAEZ	1		1			1	1	4
URB. CENTRO EMPRESARIAL DE LA SABANA						2		2
URB. CENTRO INDUSTRIAL				3	2		6	11
URB. CENTRO NARIÑO					2	7	4	13
URB. CERROS DE ORIENTE II SECTOR							1	1
URB. CERROS DE SANTA ANA					1	1		2
URB. CHICO ALTO	7	6	3	11				27
