NUEVA USME	2	2
NUEVA URB. SAN LUIS	1	1
NUEVA TIBABUYES	3	3
NUEVA SANTAFE	1	1
NUEVA GRANADA	6	6
NUEVA ESPAÑA	2	2
NUEVA DELLY	4	4
NUEVA ARGENTINA	1	1
NORMANDIA OCCIDENTAL	2	2
NORMANDÍA II SECTOR	1	1
NORMANDIA	28	28
NIZA SUR I	4	4
NIZA SUBA	5	5
NIZA NORTE	9	9
NICOLAS DE FEDERMAN	21	21
NAVARRA	24	24
NARIÑO SUR	12	12
MUZU	14	14
MUSEO DEL CHICO	1	1
MUNICIPIO DE USAQUÉN	1	1
MULTISERVITA	1	1
MULTICENTRO	1	1
MUEQUETA	1	1
MORAVIA	2	2
MORATO	5	5
MORALIA II	1	1
MONTEVIDEO	15	15
MONTECARLO	1	1
MONTEBLANCO	4	4
MONTE BELLO	2	2
MOLINOS DEL SUR	14	14
MOLINOS DE VIENTO	1	1
MODELO SUR	4	4
MODELO	12	12
MODELIA	61	61
MIRAMAR	1	1
MIRAFLOREZ	1	1
MIRADOR EL	1	1
MINUTO DE DIOS	17	17
MILLÁN LOS SAUCES	1	1
MILENTA	4	4
MIAMI	1	1
MÉXICO	4	4
METROPOLIS OCCIDENTAL	1	1
METROPOLIS	8	8
MERCED SUR SAN IGNACIO	2	2
MEISSEN	6	6
MEDITERRÁNEO	1	1
MATATIGRES	4	4
MARTIRES	14	14
MARLY	53	53
MARISCAL SUCRE	2	2
MARIA PAZ	31	31
MARCO FIDEL SUAREZ II SECTOR	1	1
MARCO FIDEL SUAREZ	5	5
MARBELLA	2	2
MARANTA	2	2
MARANDU	2	2
MANZANARES	1	1
MANDALAY I ETAPA	26	26
MALVINAS	1	1
MAKRO	1	1
MADERAS DE LA SABANA	1	1
MACONDO Y CARMEN	1	1
MACARENA	2	2
LUSITANIA	1	1
LUNA PARK I SECTOR	3	3
LUIS LÓPEZ DE MEZA	3	3
LUIS CARLOS GALÁN	1	1
LUIS CARLOS GALAN	3	3
LUCERO SUR BAJO	1	1
LUCERO MEDIO	2	2
LUCERO BAJO	8	8
LUCERO ALTO	6	6
LOURDES	12	12
LOS VIRREYES II	1	1
LOS TRES REYES - I ETAPA	1	1
LOS SAUCES	2	2
LOS ROSALES	4	4
LOS PINOS DE SUBA	1	1
LOS PINOS	1	1
LOS PINARES	1	1
LOS PIJAOS	9	9
LOS PERIODISTAS	4	4
LOS OLIVOS	1	1
LOS NARANJOS	8	8
LOS MONJES	3	3
LOS MOLINOS I SECTOR	5	5
LOS MOLINOS DEL VIENTO	1	1
LOS MOLINOS DEL SUR	11	11
LOS LIBERTADORES SAN JOSÉ	1	1
LOS LIBERTADORES	2	2
LOS LAURELES	7	7
LOS LACHES	3	3
